zip_code,city,state,address_example,overall_grade,violent_crime_grade,property_crime_grade,violent_crimes_per_1000,property_crimes_per_1000,total_crimes_per_1000,cost_of_crime_per_household_usd,confidence,retrievedAtUtc
11201,Brooklyn,NY,3275 Canal St,D,C,A,18.7,63.3,82,778,0.83,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,1074 Collins Ave,C,C,C,17.3,64.4,81.7,609,0.85,2025-10-26T17:00:57.475ZZ
19104,Philadelphia,PA,8295 Peachtree St NE,D,B,D,34.8,110.5,145.3,991,0.9,2025-10-26T17:00:57.475ZZ
37203,Nashville,TN,1471 Main St,D,B,B,12.8,33.5,46.3,638,0.91,2025-10-26T17:00:57.475ZZ
11201,Brooklyn,NY,8025 Maple Ave,F,F,C,12.6,49.4,62,761,0.93,2025-10-26T17:00:57.475ZZ
37203,Nashville,TN,2839 Elm St,B,C,A,6.7,24.8,31.5,485,0.86,2025-10-26T17:00:57.475ZZ
19104,Philadelphia,PA,9712 Washington Ave,A,B,C,3.9,15,18.9,371,0.94,2025-10-26T17:00:57.475ZZ
37203,Nashville,TN,7323 Canal St,C,D,D,8.2,22.4,30.6,519,0.8,2025-10-26T17:00:57.475ZZ
98101,Seattle,WA,4949 Peachtree St NE,B,D,A,9.3,25.9,35.2,512,0.82,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,6217 Broadway,C,F,C,12.3,34.7,47,472,0.87,2025-10-26T17:00:57.475ZZ
72201,Little Rock,AR,8285 Fulton St,B,C,C,6.3,18.4,24.7,438,0.85,2025-10-26T17:00:57.475ZZ
77002,Houston,TX,5465 Collins Ave,C,A,D,10.1,29.8,39.9,593,0.86,2025-10-26T17:00:57.475ZZ
19104,Philadelphia,PA,1326 Fulton St,F,F,D,32,100.3,132.3,857,0.9,2025-10-26T17:00:57.475ZZ
72201,Little Rock,AR,2969 Market St,C,A,F,15,46.8,61.8,581,0.95,2025-10-26T17:00:57.475ZZ
33101,Miami,FL,6888 Broadway,B,B,C,8.3,26.6,34.9,567,0.91,2025-10-26T17:00:57.475ZZ
19104,Philadelphia,PA,677 Broadway,C,C,D,9.2,27.6,36.8,506,0.91,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,7569 Oak St,D,C,B,12.6,31.7,44.3,648,0.95,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,2929 Mission St,D,D,D,24.4,68.1,92.5,1013,0.84,2025-10-26T17:00:57.475ZZ
33101,Miami,FL,8925 Pine St,B,C,D,4.3,10.8,15.1,345,0.87,2025-10-26T17:00:57.475ZZ
11201,Brooklyn,NY,9975 Washington Ave,B,D,B,5,18.3,23.3,427,0.92,2025-10-26T17:00:57.475ZZ
85001,Phoenix,AZ,3367 Peachtree St NE,F,B,D,14.6,52.3,66.9,536,0.94,2025-10-26T17:00:57.475ZZ
19104,Philadelphia,PA,5054 Washington Ave,F,A,C,36,120.2,156.2,823,0.84,2025-10-26T17:00:57.475ZZ
11201,Brooklyn,NY,3152 Elm St,C,C,C,19.9,60.1,80,920,0.83,2025-10-26T17:00:57.475ZZ
20001,Washington,DC,6444 Pine St,B,C,D,2.5,8.6,11.1,364,0.89,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,1709 Collins Ave,B,D,D,5.2,14.2,19.4,359,0.86,2025-10-26T17:00:57.475ZZ
60629,Chicago,IL,9803 Peachtree St NE,C,B,D,10.4,33.1,43.5,645,0.89,2025-10-26T17:00:57.475ZZ
02115,Boston,MA,4304 Peachtree St NE,D,F,D,27.6,90.9,118.5,775,0.87,2025-10-26T17:00:57.475ZZ
77002,Houston,TX,9609 Fulton St,A,D,C,2.1,6.5,8.6,327,0.9,2025-10-26T17:00:57.475ZZ
02115,Boston,MA,5249 Washington Ave,D,B,D,29.6,117.4,147,1154,0.83,2025-10-26T17:00:57.475ZZ
60601,Chicago,IL,618 Mission St,D,D,B,16.3,62.7,79,647,0.91,2025-10-26T17:00:57.475ZZ
20001,Washington,DC,4049 Peachtree St NE,F,C,D,40.4,112,152.4,1166,0.83,2025-10-26T17:00:57.475ZZ
98101,Seattle,WA,2234 Market St,D,A,A,32.7,82.7,115.4,870,0.93,2025-10-26T17:00:57.475ZZ
94103,San Francisco,CA,6198 Mission St,B,F,D,8.2,26.1,34.3,540,0.91,2025-10-26T17:00:57.475ZZ
90001,Los Angeles,CA,9416 Canal St,A,D,A,4.3,16.7,21,388,0.93,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,4394 Cedar St,F,D,B,39.5,105.3,144.8,1153,0.83,2025-10-26T17:00:57.475ZZ
10003,New York,NY,5544 Lexington Ave,C,A,F,17.5,49.7,67.2,552,0.82,2025-10-26T17:00:57.475ZZ
75201,Dallas,TX,5178 Elm St,B,C,D,6.9,25.9,32.8,452,0.82,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,516 1st Ave,D,D,C,15.9,48.1,64,671,0.91,2025-10-26T17:00:57.475ZZ
77002,Houston,TX,2169 Oak St,C,D,B,4.9,17.4,22.3,444,0.9,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,9591 Peachtree St NE,F,C,B,28.9,80.7,109.6,826,0.81,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,5487 Mission St,C,D,C,17.8,65.7,83.5,566,0.85,2025-10-26T17:00:57.475ZZ
10002,New York,NY,9003 Pine St,D,A,B,9.4,26.3,35.7,548,0.94,2025-10-26T17:00:57.475ZZ
72201,Little Rock,AR,8131 Market St,B,A,B,8.7,30.2,38.9,491,0.92,2025-10-26T17:00:57.475ZZ
96813,Honolulu,HI,3342 1st Ave,D,D,F,7.1,26.7,33.8,450,0.93,2025-10-26T17:00:57.475ZZ
60601,Chicago,IL,1206 Maple Ave,B,C,C,6.6,22,28.6,436,0.93,2025-10-26T17:00:57.475ZZ
90011,Los Angeles,CA,6541 Elm St,C,C,D,13.8,45.4,59.2,479,0.84,2025-10-26T17:00:57.475ZZ
75201,Dallas,TX,7117 Main St,A,F,C,1.3,3.4,4.7,316,0.81,2025-10-26T17:00:57.475ZZ
72201,Little Rock,AR,1682 Market St,D,C,B,21.9,76.7,98.6,947,0.83,2025-10-26T17:00:57.475ZZ
64106,Kansas City,MO,7699 Washington Ave,F,A,C,27.1,98.1,125.2,1226,0.94,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,8487 Lexington Ave,D,A,F,28.5,110.2,138.7,752,0.82,2025-10-26T17:00:57.475ZZ
11201,Brooklyn,NY,1812 Pine St,B,B,D,9.1,28.2,37.3,540,0.82,2025-10-26T17:00:57.475ZZ
85001,Phoenix,AZ,6276 Washington Ave,D,A,D,11.9,35.2,47.1,441,0.92,2025-10-26T17:00:57.475ZZ
85001,Phoenix,AZ,2917 Market St,B,D,C,8.4,24.7,33.1,419,0.81,2025-10-26T17:00:57.475ZZ
72201,Little Rock,AR,6574 Peachtree St NE,C,D,A,12.8,39.7,52.5,605,0.94,2025-10-26T17:00:57.475ZZ
45202,Cincinnati,OH,6363 Washington Ave,D,C,B,19.9,65.7,85.6,899,0.89,2025-10-26T17:00:57.475ZZ
80202,Denver,CO,541 Elm St,D,C,A,33.6,96.1,129.7,960,0.9,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,480 Elm St,C,D,C,5.6,18.5,24.1,386,0.84,2025-10-26T17:00:57.475ZZ
48201,Detroit,MI,8283 Broadway,F,D,C,43.2,111.3,154.5,1508,0.91,2025-10-26T17:00:57.475ZZ
45202,Cincinnati,OH,932 Pine St,D,B,C,23.5,88.2,111.7,1179,0.9,2025-10-26T17:00:57.475ZZ
94103,San Francisco,CA,5203 Lexington Ave,D,D,C,16.8,59.1,75.9,757,0.81,2025-10-26T17:00:57.475ZZ
10002,New York,NY,2375 Main St,B,D,C,5,15.5,20.5,381,0.81,2025-10-26T17:00:57.475ZZ
80202,Denver,CO,2513 Pine St,D,C,B,33,87.1,120.1,708,0.95,2025-10-26T17:00:57.475ZZ
94102,San Francisco,CA,74 Oak St,F,A,C,10.6,38.2,48.8,584,0.93,2025-10-26T17:00:57.475ZZ
10003,New York,NY,3146 Pine St,C,F,D,16.7,51.6,68.3,735,0.83,2025-10-26T17:00:57.475ZZ
98101,Seattle,WA,8937 Elm St,B,D,D,4.7,15.4,20.1,367,0.93,2025-10-26T17:00:57.475ZZ
94102,San Francisco,CA,8927 Cedar St,D,C,D,24.1,88.5,112.6,997,0.81,2025-10-26T17:00:57.475ZZ
10003,New York,NY,7264 Elm St,C,B,D,13.3,50.8,64.1,736,0.95,2025-10-26T17:00:57.475ZZ
10002,New York,NY,9473 Elm St,B,B,F,3.3,11.3,14.6,345,0.89,2025-10-26T17:00:57.475ZZ
11201,Brooklyn,NY,5884 Peachtree St NE,C,C,A,6.9,19.3,26.2,455,0.82,2025-10-26T17:00:57.475ZZ
10001,New York,NY,4311 Elm St,D,F,B,23.3,74.9,98.2,738,0.94,2025-10-26T17:00:57.475ZZ
94103,San Francisco,CA,9448 Pine St,C,D,B,15.1,50.1,65.2,818,0.94,2025-10-26T17:00:57.475ZZ
80202,Denver,CO,3565 Lexington Ave,D,F,A,16,60.4,76.4,679,0.84,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,6487 Collins Ave,B,B,D,5.2,15.4,20.6,411,0.84,2025-10-26T17:00:57.475ZZ
30303,Atlanta,GA,9376 Collins Ave,C,D,D,18,50.7,68.7,758,0.85,2025-10-26T17:00:57.475ZZ
94102,San Francisco,CA,2624 Main St,B,B,C,8.2,23.7,31.9,424,0.89,2025-10-26T17:00:57.475ZZ
94103,San Francisco,CA,2369 Broadway,C,F,B,7.2,21.5,28.7,482,0.9,2025-10-26T17:00:57.475ZZ
11211,Brooklyn,NY,9857 Fulton St,B,C,C,8.7,34.6,43.3,479,0.95,2025-10-26T17:00:57.475ZZ
77002,Houston,TX,4305 Cedar St,D,C,D,27,70.5,97.5,1077,0.93,2025-10-26T17:00:57.475ZZ
98101,Seattle,WA,5253 Market St,C,F,B,12.7,49.3,62,605,0.9,2025-10-26T17:00:57.475ZZ
11211,Brooklyn,NY,6112 Pine St,F,D,C,41.1,121.8,162.9,1575,0.82,2025-10-26T17:00:57.475ZZ
80202,Denver,CO,5010 1st Ave,D,C,B,11.5,30.5,42,517,0.89,2025-10-26T17:00:57.475ZZ
77002,Houston,TX,5109 Broadway,B,D,F,9.3,32.1,41.4,534,0.89,2025-10-26T17:00:57.475ZZ
94103,San Francisco,CA,5798 Mission St,C,C,C,8.9,29.7,38.6,483,0.87,2025-10-26T17:00:57.475ZZ
98101,Seattle,WA,9723 Fulton St,B,C,C,3.6,9.4,13,367,0.85,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,1732 Peachtree St NE,B,C,D,9.7,37.5,47.2,512,0.93,2025-10-26T17:00:57.475ZZ
94103,San Francisco,CA,3078 Mission St,D,D,D,23.2,87.8,111,1044,0.88,2025-10-26T17:00:57.475ZZ
60629,Chicago,IL,1816 Peachtree St NE,C,C,D,16.4,51.4,67.8,805,0.93,2025-10-26T17:00:57.475ZZ
45202,Cincinnati,OH,8738 Canal St,D,D,D,12.5,35.9,48.4,462,0.88,2025-10-26T17:00:57.475ZZ
60601,Chicago,IL,8106 Broadway,B,D,C,3.1,9.7,12.8,340,0.84,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,8857 Washington Ave,D,B,D,18,61.7,79.7,735,0.9,2025-10-26T17:00:57.475ZZ
20001,Washington,DC,9927 Washington Ave,D,C,C,30.3,118.6,148.9,1157,0.86,2025-10-26T17:00:57.475ZZ
72201,Little Rock,AR,8716 Collins Ave,C,D,D,19.5,55.8,75.3,674,0.92,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,8858 Canal St,C,B,D,6.1,18,24.1,444,0.88,2025-10-26T17:00:57.475ZZ
94102,San Francisco,CA,5844 Canal St,C,D,D,14.3,52.3,66.6,751,0.93,2025-10-26T17:00:57.475ZZ
85001,Phoenix,AZ,8594 Cedar St,D,D,C,30.2,108.2,138.4,725,0.86,2025-10-26T17:00:57.475ZZ
75201,Dallas,TX,7829 Main St,D,D,C,29.5,93.6,123.1,1129,0.95,2025-10-26T17:00:57.475ZZ
11201,Brooklyn,NY,5004 Cedar St,A,A,F,3.3,9,12.3,395,0.88,2025-10-26T17:00:57.475ZZ
64106,Kansas City,MO,5140 Mission St,D,C,D,10.2,36.5,46.7,657,0.81,2025-10-26T17:00:57.475ZZ
85001,Phoenix,AZ,5196 Washington Ave,C,D,B,13.8,45.9,59.7,630,0.92,2025-10-26T17:00:57.475ZZ
72201,Little Rock,AR,3243 Cedar St,A,A,C,3.1,10.6,13.7,362,0.82,2025-10-26T17:00:57.475ZZ
10002,New York,NY,9456 Fulton St,D,D,B,15.8,44.7,60.5,569,0.84,2025-10-26T17:00:57.475ZZ
10003,New York,NY,7332 Washington Ave,D,C,B,7.2,22.7,29.9,402,0.9,2025-10-26T17:00:57.475ZZ
90011,Los Angeles,CA,5676 Main St,B,D,D,8.2,22.2,30.4,405,0.93,2025-10-26T17:00:57.475ZZ
20001,Washington,DC,3481 Elm St,D,D,C,34.7,131.7,166.4,1535,0.9,2025-10-26T17:00:57.475ZZ
33101,Miami,FL,9801 Pine St,C,D,C,19.4,64.1,83.5,553,0.92,2025-10-26T17:00:57.475ZZ
48201,Detroit,MI,1462 Pine St,C,A,C,16.3,54.5,70.8,629,0.91,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,2022 Mission St,B,D,D,3,8,11,340,0.81,2025-10-26T17:00:57.475ZZ
60601,Chicago,IL,5370 Peachtree St NE,D,C,D,32.7,122,154.7,892,0.9,2025-10-26T17:00:57.475ZZ
37203,Nashville,TN,265 Market St,C,C,C,19.8,68.6,88.4,584,0.86,2025-10-26T17:00:57.475ZZ
94103,San Francisco,CA,7095 Lexington Ave,C,D,C,5.9,18.2,24.1,477,0.88,2025-10-26T17:00:57.475ZZ
33132,Miami,FL,909 Pine St,C,D,D,10,29.7,39.7,595,0.84,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,9430 1st Ave,C,C,D,11.6,36.6,48.2,625,0.89,2025-10-26T17:00:57.475ZZ
10001,New York,NY,5546 Market St,D,C,C,33.9,113.3,147.2,889,0.81,2025-10-26T17:00:57.475ZZ
30303,Atlanta,GA,7237 Oak St,F,C,C,12.4,38.5,50.9,651,0.94,2025-10-26T17:00:57.475ZZ
75201,Dallas,TX,1001 Mission St,D,B,C,32.7,117.8,150.5,1413,0.82,2025-10-26T17:00:57.475ZZ
48201,Detroit,MI,8842 Collins Ave,D,D,C,16.9,47.3,64.2,806,0.85,2025-10-26T17:00:57.475ZZ
02115,Boston,MA,3359 Collins Ave,C,D,C,18.5,71.9,90.4,744,0.89,2025-10-26T17:00:57.475ZZ
48201,Detroit,MI,4518 Maple Ave,C,D,D,6.2,16.5,22.7,446,0.89,2025-10-26T17:00:57.475ZZ
90001,Los Angeles,CA,5443 Mission St,C,D,F,7.4,25.9,33.3,559,0.91,2025-10-26T17:00:57.475ZZ
90001,Los Angeles,CA,3562 Broadway,C,D,D,4.5,17,21.5,445,0.89,2025-10-26T17:00:57.475ZZ
33101,Miami,FL,3330 Maple Ave,D,C,D,18.2,53.1,71.3,670,0.93,2025-10-26T17:00:57.475ZZ
10003,New York,NY,4183 Cedar St,B,C,C,5.8,19.9,25.7,398,0.84,2025-10-26T17:00:57.475ZZ
30303,Atlanta,GA,7062 Collins Ave,C,D,B,8.4,25.2,33.6,427,0.86,2025-10-26T17:00:57.475ZZ
10003,New York,NY,4609 Collins Ave,D,B,F,32.4,93.9,126.3,1293,0.87,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,7651 Peachtree St NE,D,A,D,16.9,61.2,78.1,665,0.9,2025-10-26T17:00:57.475ZZ
94102,San Francisco,CA,982 Peachtree St NE,D,D,B,20.1,79,99.1,881,0.88,2025-10-26T17:00:57.475ZZ
10002,New York,NY,4864 1st Ave,D,D,B,26.7,88.8,115.5,1137,0.86,2025-10-26T17:00:57.475ZZ
75201,Dallas,TX,3157 Broadway,A,C,B,4.8,14.1,18.9,425,0.94,2025-10-26T17:00:57.475ZZ
85001,Phoenix,AZ,1207 Elm St,D,B,A,8.4,31.1,39.5,597,0.89,2025-10-26T17:00:57.475ZZ
94102,San Francisco,CA,1903 Pine St,D,D,D,13.9,45.8,59.7,717,0.82,2025-10-26T17:00:57.475ZZ
90001,Los Angeles,CA,7254 Mission St,F,F,C,48.1,134.4,182.5,1730,0.83,2025-10-26T17:00:57.475ZZ
64106,Kansas City,MO,7448 Fulton St,D,B,D,27.9,78.1,106,806,0.93,2025-10-26T17:00:57.475ZZ
73102,Oklahoma City,OK,9127 Pine St,B,D,D,5.5,15.8,21.3,417,0.92,2025-10-26T17:00:57.475ZZ
85001,Phoenix,AZ,1451 Oak St,C,B,D,10.9,33.4,44.3,615,0.92,2025-10-26T17:00:57.475ZZ
75201,Dallas,TX,4612 Washington Ave,D,C,B,23.5,61.7,85.2,836,0.86,2025-10-26T17:00:57.475ZZ
64106,Kansas City,MO,3906 Canal St,D,A,F,30,110.4,140.4,730,0.91,2025-10-26T17:00:57.475ZZ
90001,Los Angeles,CA,4205 Washington Ave,C,B,F,9,22.7,31.7,538,0.83,2025-10-26T17:00:57.475ZZ
80202,Denver,CO,2576 Collins Ave,B,C,B,2.5,9.8,12.3,359,0.84,2025-10-26T17:00:57.475ZZ
73301,Austin,TX,6993 1st Ave,C,A,C,17,47.5,64.5,500,0.91,2025-10-26T17:00:57.475ZZ
94102,San Francisco,CA,1527 Canal St,B,D,D,4.8,14,18.8,443,0.81,2025-10-26T17:00:57.475ZZ
11211,Brooklyn,NY,5996 Cedar St,A,D,F,2.3,8.7,11,349,0.84,2025-10-26T17:00:57.475ZZ
60601,Chicago,IL,5400 Mission St,D,D,C,19.7,58.9,78.6,728,0.91,2025-10-26T17:00:57.475ZZ
64106,Kansas City,MO,6259 Washington Ave,C,C,D,17.8,62.9,80.7,576,0.8,2025-10-26T17:00:57.475ZZ
94102,San Francisco,CA,6693 Collins Ave,D,C,D,15.6,51.1,66.7,777,0.92,2025-10-26T17:00:57.475ZZ
94103,San Francisco,CA,837 Washington Ave,D,B,D,15.7,56.2,71.9,669,0.91,2025-10-26T17:00:57.475ZZ
77002,Houston,TX,9411 1st Ave,B,F,D,9.7,27.3,37,471,0.92,2025-10-26T17:00:57.475ZZ
11211,Brooklyn,NY,7660 Maple Ave,D,C,C,15.7,45.8,61.5,725,0.87,2025-10-26T17:00:57.475ZZ
10002,New York,NY,6409 Collins Ave,B,D,B,2.3,6.4,8.7,357,0.92,2025-10-26T17:00:57.475ZZ
11201,Brooklyn,NY,3099 1st Ave,D,D,B,31.5,80.4,111.9,847,0.86,2025-10-26T17:00:57.475ZZ
98101,Seattle,WA,3278 Collins Ave,B,D,B,2.5,7.7,10.2,351,0.86,2025-10-26T17:00:57.475ZZ
96813,Honolulu,HI,1573 Washington Ave,D,D,B,27.9,77.6,105.5,934,0.88,2025-10-26T17:00:57.475ZZ
85001,Phoenix,AZ,1834 Oak St,D,F,F,17.8,58.4,76.2,882,0.9,2025-10-26T17:00:57.475ZZ
11211,Brooklyn,NY,6841 Market St,C,C,C,19.6,56.4,76,857,0.92,2025-10-26T17:00:57.475ZZ
10002,New York,NY,4778 Main St,C,B,A,11.3,34.9,46.2,551,0.89,2025-10-26T17:00:57.475ZZ
64106,Kansas City,MO,4034 Main St,F,D,A,29.5,100.8,130.3,1037,0.87,2025-10-26T17:00:57.475ZZ
